order_id,customer_id,order_date,product_id,product_name,category,quantity,unit_price,region,country
O46048,C0063,2023-08-17,P002,Butter,Food,2,370.87,North,India
O87397,C0109,2023-02-02,P009,Phone,Electronics,1,55.91,North,India
O83563,C0051,2024-10-27,P004,Laptop,Electronics,5,215.56,North,India
O10851,C0195,2023-06-13,P008,Shoes,Clothing,4,176.72,East,India
O54118,C0027,2023-04-05,P003,Milk,Food,4,57.39,South,India
O15695,C0187,2024-04-15,P006,Keyboard,Electronics,5,71.16,East,India
O82357,C0076,2024-10-05,P007,Shirt,Clothing,5,443.87,North,India
O19116,C0012,2024-11-08,P006,Keyboard,Electronics,2,388.8,South,India
O23238,C0098,2023-10-12,P002,Butter,Food,4,321.49,South,India
O58520,C0091,2023-08-03,P006,Keyboard,Electronics,3,353.89,South,India
O80010,C0187,2023-09-08,P002,Butter,Food,2,236.51,South,India
O99733,C0084,2023-02-27,P005,Mouse,Electronics,2,412.68,South,India
O45093,C0017,2023-08-05,P006,Keyboard,Electronics,5,439.42,West,India
O95909,C0128,2024-02-10,P006,Keyboard,Electronics,4,80.01,South,India
O83579,C0138,2023-09-27,P003,Milk,Food,5,219.93,South,India
O57447,C0057,2023-05-22,P010,Notebook,Stationery,5,251.82,West,India
O30033,C0161,2023-06-13,P001,Bread,Food,4,302.24,North,India
O88104,C0120,2024-06-25,P007,Shirt,Clothing,3,485.83,West,India
O99353,C0138,2023-10-01,P001,Bread,Food,3,64.66,North,India
O69470,C0001,2023-09-27,P007,Shirt,Clothing,5,383.36,South,India
O91959,C0077,2024-10-16,P009,Phone,Electronics,5,308.4,North,India
O31174,C0139,2024-06-27,P003,Milk,Food,1,303.48,East,India
O24662,C0093,2023-11-11,P008,Shoes,Clothing,2,38.38,North,India
O21226,C0188,2024-05-12,P010,Notebook,Stationery,1,489.21,North,India
O26828,C0169,2024-05-01,P009,Phone,Electronics,5,90.91,South,India
O37760,C0139,2024-12-07,P009,Phone,Electronics,2,359.34,West,India
O67422,C0133,2024-04-07,P007,Shirt,Clothing,1,131.47,East,India
O12757,C0151,2024-07-21,P002,Butter,Food,2,298.34,East,India
O92719,C0016,2023-08-23,P001,Bread,Food,1,453.66,North,India
O77391,C0061,2023-10-13,P006,Keyboard,Electronics,4,114.98,North,India
O41850,C0122,2024-02-21,P003,Milk,Food,2,56.22,West,India
O65519,C0106,2024-04-23,P007,Shirt,Clothing,1,339.95,East,India
O62772,C0187,2023-12-14,P002,Butter,Food,1,131.84,North,India
O28373,C0109,2023-07-07,P004,Laptop,Electronics,3,236.69,West,India
O82132,C0026,2023-02-21,P002,Butter,Food,5,419.65,West,India
O31798,C0105,2024-05-12,P002,Butter,Food,4,114.74,South,India
O31579,C0098,2023-01-03,P007,Shirt,Clothing,4,139.95,North,India
O65444,C0179,2024-07-23,P008,Shoes,Clothing,4,85.85,East,India
O17665,C0149,2024-07-09,P005,Mouse,Electronics,1,376.51,South,India
O86569,C0123,2024-05-29,P001,Bread,Food,5,87.14,North,India
O34356,C0018,2024-09-01,P009,Phone,Electronics,1,340.85,North,India
O25713,C0146,2023-09-10,P004,Laptop,Electronics,5,301.31,West,India
O64948,C0169,2024-08-20,P010,Notebook,Stationery,5,266.16,North,India
O97782,C0184,2023-11-18,P005,Mouse,Electronics,2,140.15,South,India
O69929,C0081,2023-03-16,P003,Milk,Food,1,234.56,East,India
O19602,C0138,2023-08-07,P010,Notebook,Stationery,5,139.95,North,India
O42018,C0095,2023-10-19,P006,Keyboard,Electronics,2,224.71,North,India
O90173,C0168,2024-06-25,P009,Phone,Electronics,1,337.25,East,India
O96951,C0027,2023-05-18,P009,Phone,Electronics,3,66.56,East,India
O45697,C0073,2024-09-11,P002,Butter,Food,2,361.63,South,India
O76244,C0126,2023-09-15,P004,Laptop,Electronics,1,55.23,East,India
O15778,C0001,2023-12-08,P007,Shirt,Clothing,2,322.19,East,India
O67912,C0142,2024-12-23,P005,Mouse,Electronics,4,284.84,South,India
O29536,C0140,2023-02-06,P002,Butter,Food,3,295.43,North,India
O26704,C0011,2023-11-12,P003,Milk,Food,3,450.5,West,India
O37535,C0175,2023-09-13,P001,Bread,Food,1,183.3,East,India
O91351,C0192,2023-06-08,P009,Phone,Electronics,2,433.66,West,India
O13248,C0046,2023-12-07,P003,Milk,Food,4,403.1,West,India
O30866,C0180,2023-04-21,P004,Laptop,Electronics,4,437.36,East,India
O36158,C0118,2023-12-25,P008,Shoes,Clothing,3,412.06,South,India
O13101,C0169,2023-07-17,P004,Laptop,Electronics,4,170.85,South,India
O56025,C0165,2024-06-05,P002,Butter,Food,4,342.96,East,India
O13617,C0030,2023-09-25,P009,Phone,Electronics,2,294.49,East,India
O24208,C0153,2024-03-20,P005,Mouse,Electronics,3,366.99,North,India
O89457,C0131,2023-04-29,P006,Keyboard,Electronics,4,450.76,West,India
O15817,C0182,2024-03-22,P004,Laptop,Electronics,1,264.76,East,India
O57739,C0111,2023-03-13,P009,Phone,Electronics,3,315.35,South,India
O76469,C0080,2024-11-13,P002,Butter,Food,4,169.83,East,India
O35144,C0108,2024-11-11,P005,Mouse,Electronics,4,341.89,South,India
O63225,C0141,2023-01-01,P003,Milk,Food,3,150.59,East,India
O70946,C0114,2024-03-28,P007,Shirt,Clothing,2,260.48,East,India
O47196,C0132,2024-11-10,P003,Milk,Food,5,174.24,North,India
O39444,C0051,2023-05-31,P004,Laptop,Electronics,1,32.64,East,India
O69692,C0107,2024-10-06,P008,Shoes,Clothing,5,105.27,North,India
O62383,C0063,2023-06-01,P007,Shirt,Clothing,1,447.4,West,India
O38683,C0046,2024-12-13,P002,Butter,Food,5,237.63,West,India
O25906,C0117,2023-05-17,P009,Phone,Electronics,4,337.11,South,India
O68008,C0157,2024-05-31,P009,Phone,Electronics,4,416.98,East,India
O30861,C0191,2024-05-01,P009,Phone,Electronics,4,137.0,West,India
O78327,C0125,2024-10-03,P004,Laptop,Electronics,2,144.55,East,India
O40735,C0070,2023-12-10,P002,Butter,Food,3,447.58,East,India
O29769,C0060,2024-01-28,P002,Butter,Food,2,356.15,South,India
O63424,C0085,2024-07-09,P002,Butter,Food,4,213.73,West,India
O61049,C0198,2024-08-21,P004,Laptop,Electronics,1,429.8,West,India
O72518,C0002,2023-12-27,P010,Notebook,Stationery,3,379.2,West,India
O73993,C0057,2023-10-07,P007,Shirt,Clothing,4,247.96,South,India
O97670,C0174,2024-02-19,P007,Shirt,Clothing,2,421.85,East,India
O61645,C0152,2024-07-31,P003,Milk,Food,1,51.13,North,India
O70515,C0047,2023-02-21,P007,Shirt,Clothing,3,195.76,South,India
O52840,C0087,2024-01-24,P004,Laptop,Electronics,3,378.48,West,India
O20735,C0121,2023-01-20,P007,Shirt,Clothing,5,35.52,East,India
O95215,C0018,2024-10-29,P006,Keyboard,Electronics,1,379.57,South,India
O12671,C0160,2023-06-06,P004,Laptop,Electronics,2,71.85,South,India
